matrix_size,process_count,mean_time,std_time,min_time,max_time,count,baseline_time,speedup,speedup_std
100,1,0.0059251600000000005,5.713140992483919e-05,0.0058527,0.0059806,5,0.0059251600000000005,1.0,0.009642171675505672
100,2,0.00306186,3.605985302244043e-05,0.0030147,0.003105,5,0.0059251600000000005,1.93515052941676,0.022790474961972836
100,4,0.0017870400000000002,4.706291533681264e-05,0.0017279,0.0018425,5,0.0059251600000000005,3.3156280777151044,0.08731932329990642
100,8,0.0020751800000000003,0.0001669102363547544,0.0018969,0.0022507,5,0.0059251600000000005,2.8552511107470195,0.22965267482674276
200,1,0.04556152,0.00026653681171650385,0.0453198,0.0459942,5,0.04556152,1.0,0.005850042134601827
200,2,0.025776979999999998,0.0048431861663578435,0.0228608,0.0343712,5,0.04556152,1.7675274605481326,0.33209726451990595
200,4,0.011866999999999999,5.634838063334177e-05,0.0118037,0.01194,5,0.04556152,3.8393460857841077,0.018230465545200452
200,8,0.01231574,0.00010968722806234041,0.0121481,0.0124261,5,0.04556152,3.6994545191762738,0.03294831748243661
300,1,0.1523228,0.001354567347901158,0.150929,0.154261,5,0.1523228,1.0,0.008892741913233988
300,2,0.07761218,0.0007132931599279455,0.0768663,0.0786529,5,0.1523228,1.9626146308478902,0.01803736980147072
300,4,0.03914972,0.0005378183912809228,0.0385629,0.0399514,5,0.1523228,3.8907762303280844,0.053449450290553896
300,8,0.04053434,0.0013912785785025223,0.03955,0.0429924,5,0.1523228,3.7578704870981,0.12898309703541308
400,1,0.359852,0.003116764107211196,0.357401,0.36369,5,0.359852,1.0,0.008661238807096239
400,2,0.18349500000000002,0.0015599472747500156,0.182467,0.186237,5,0.359852,1.9610997574865798,0.0166719105272847
400,4,0.09188589999999999,0.0006114713607357233,0.0913332,0.0927263,5,0.359852,3.916291835852944,0.02606167320456353
400,8,0.0968966,0.0021222262709240003,0.0954652,0.100293,5,0.359852,3.7137732386894897,0.08133894410537978
500,1,0.7000556,0.0022150992754276433,0.696996,0.703153,5,0.7000556,1.0,0.00316417621032907
500,2,0.3721678,0.03053353033469927,0.356647,0.426748,5,0.7000556,1.8810214102348457,0.1543234645491213
500,4,0.1792958,0.0011208299157320863,0.177763,0.18078,5,0.7000556,3.904472943593771,0.024407989926961016
500,8,0.18503540000000002,0.001216975061371434,0.183218,0.186357,5,0.7000556,3.783360373204262,0.024883104651166794
600,1,1.200192,0.00033862959114644187,1.19986,1.20064,5,1.200192,1.0,0.00028214618256615766
600,2,0.6399738,0.032585555192446894,0.618583,0.694187,5,1.200192,1.8753767732366542,0.09548858617483395
600,4,0.30887000000000003,0.00280700952973086,0.30674,0.313523,5,1.200192,3.8857512869492012,0.035313694734452554
600,8,0.3175926,0.001559681313602227,0.315282,0.3189,5,1.200192,3.7790301159409885,0.018558627170070136
700,1,1.9064139999999998,0.003532651978330198,1.90387,1.9116,5,1.9064139999999998,1.0,0.001853035058665221
700,2,0.9925691999999999,0.027177743388662703,0.977305,1.04101,5,1.9064139999999998,1.920686235277097,0.05259070867048623
700,4,0.48530559999999995,0.0019224118445328128,0.482131,0.487298,5,1.9064139999999998,3.9282752970499413,0.015560840343969781
700,8,0.46782219999999997,0.018917532944335,0.450136,0.498303,5,1.9064139999999998,4.075082371037544,0.16478590585265412
800,1,2.841048,0.0015581142448484967,2.83963,2.84335,5,2.841048,1.0,0.0005484293981828174
800,2,1.459282,0.0031405604595358357,1.457,1.46478,5,2.841048,1.9468807262749763,0.004189934932639203
800,4,0.7258612,0.0020770183436840265,0.723294,0.728764,5,2.841048,3.9140375597979338,0.011199837943629682
800,8,0.5978738,0.015164613964753609,0.5855,0.621913,5,2.841048,4.751919217734578,0.12052881482453123
900,1,4.044084,0.0027455381986051805,4.04131,4.04863,5,4.044084,1.0,0.0006789023666682445
900,2,2.0962539999999996,0.012175150101744005,2.08445,2.11663,5,4.044084,1.9291956032045738,0.011204866416302727
900,4,1.0320740000000002,0.0019277525774850672,1.02961,1.03401,5,4.044084,3.918405075605043,0.007318966938541413
900,8,0.8072798000000001,0.02649613707127887,0.777078,0.840015,5,4.044084,5.009519623803295,0.16441996766617156
1000,1,5.549116,0.003929609395347361,5.54444,5.55403,5,5.549116,1.0,0.0007081505225962769
1000,2,2.8696200000000003,0.02724679522439292,2.8452,2.91516,5,5.549116,1.9337459315170646,0.018360751392884213
1000,4,1.417768,0.004768078229223847,1.41402,1.42563,5,5.549116,3.9139802845035296,0.013163059248165172
1000,8,1.082788,0.02296945079883269,1.04401,1.10492,5,5.549116,5.1248406890360805,0.10871451850100858
1100,1,7.386246,0.015580554547255217,7.37696,7.41397,5,7.386246,1.0,0.002109400979503691
1100,2,3.8207499999999994,0.049378613791802625,3.75012,3.87695,5,7.386246,1.933192697768763,0.024984198287837933
1100,4,1.8793980000000001,0.001695499926275343,1.87722,1.88152,5,7.386246,3.9301127275861734,0.0035455533313732074
1100,8,1.4290420000000001,0.02680158334875023,1.39065,1.46612,5,7.386246,5.168669640220511,0.09693803972488203
1200,1,9.731407999999998,0.06535672474963748,9.64689,9.78796,5,9.731407999999998,1.0,0.006716060486790554
1200,2,4.840524,0.03564449789238143,4.81977,4.90386,5,9.731407999999998,2.010403832312369,0.01480414830371542
1200,4,2.4416800000000003,0.00535463350753334,2.43305,2.44721,5,9.731407999999998,3.9855378264145984,0.008740332226524854
1200,8,1.8408419999999999,0.0391000622761651,1.79455,1.88557,5,9.731407999999998,5.2863895978036135,0.11228457547697886
1300,1,12.23334,0.014898422735309622,12.2154,12.2505,5,12.23334,1.0,0.001217854055826914
1300,2,6.132516,0.020379335857677146,6.11844,6.16858,5,12.23334,1.9948321374130944,0.0066291476627259385
1300,4,3.0972,0.006324385345628308,3.09139,3.10798,5,12.23334,3.9498062766369624,0.00806538064510962
1300,8,2.28795,0.029181291952207866,2.24634,2.32814,5,12.23334,5.346856356126664,0.06819562331110843
1400,1,15.261500000000002,0.0375870988505367,15.2246,15.3138,5,15.261500000000002,1.0,0.00246287054683594
1400,2,7.647534,0.005623386879808561,7.64028,7.65322,5,15.261500000000002,1.995610611211405,0.0014674129632235645
1400,4,3.866124,0.002717853932793247,3.86287,3.8692,5,15.261500000000002,3.947493665490295,0.002775056150146562
1400,8,2.867594,0.02856041893950439,2.83399,2.91051,5,15.261500000000002,5.322057446068029,0.05300617530927031
1500,1,18.724520000000002,0.011605688260504166,18.7132,18.7432,5,18.724520000000002,1.0,0.000619812324187972
1500,2,9.420295999999999,0.03653926422357251,9.38872,9.47345,5,18.724520000000002,1.9876785188066282,0.0077097694796633386
1500,4,4.753334,0.004558073057773535,4.74686,4.75885,5,18.724520000000002,3.939239279209078,0.00377742031733645
1500,8,3.4608980000000003,0.01888157620539153,3.43964,3.4849,5,18.724520000000002,5.4103068047657,0.029516940467107643
1600,1,22.861079999999998,0.04418514456239878,22.8115,22.9252,5,22.861079999999998,1.0,0.0019327671554624185
1600,2,11.4031,0.003296209944770056,11.398,11.4061,5,22.861079999999998,2.004812726363883,0.0005795164162413906
1600,4,5.773482,0.008985461590814564,5.76629,5.78817,5,22.861079999999998,3.959669398813402,0.006162564860401682
1600,8,4.22651,0.04212358602968178,4.17326,4.27742,5,22.861079999999998,5.4089733609999735,0.053908627852374505
1700,1,27.33334,0.06284419623163273,27.2493,27.4051,5,27.33334,1.0,0.002299177350138429
1700,2,13.691040000000001,0.020198960369286565,13.6715,13.7207,5,27.33334,1.996440007479344,0.0029454309234896283
1700,4,6.922596,0.020269120109171212,6.90935,6.95824,5,27.33334,3.948423394922945,0.01156084625385545
1700,8,5.036309999999999,0.0221621964164208,5.00369,5.05831,5,27.33334,5.427255272213189,0.02388254443130864
1800,1,32.42982,0.1094261029188154,32.3344,32.5605,5,32.42982,1.0,0.003374243301961448
1800,2,16.320420000000002,0.13655761421466056,16.2224,16.5456,5,32.42982,1.9870701856937503,0.016626383624650656
1800,4,8.225686,0.04154065695195543,8.19695,8.29808,5,32.42982,3.942506436545232,0.01991010931020242
1800,8,5.9050780000000005,0.025351977634890836,5.87189,5.93247,5,32.42982,5.491852944194809,0.02357789905829122
1900,1,38.44188,0.38450494405143976,38.2041,39.1175,5,38.44188,1.0,0.010002240890701489
1900,2,19.33794,0.08395753688621538,19.2692,19.4814,5,38.44188,1.9878994349966954,0.008630657667767187
1900,4,9.749934,0.01054324096281579,9.73347,9.76012,5,38.44188,3.9427836126890705,0.0042635896502296565
1900,8,6.95415,0.044518404059444794,6.87706,6.98787,5,38.44188,5.5279049200836905,0.03538800641839457
2000,1,45.387260000000005,0.4098392892342074,44.8722,45.9694,5,45.387260000000005,1.0,0.009029831041446595
2000,2,22.29298,0.056185024695196345,22.2357,22.3634,5,45.387260000000005,2.035944050548648,0.0051311922747929554
2000,4,11.35374,0.0138460463671046,11.3372,11.3754,5,45.387260000000005,3.997560275292547,0.004875081244329713
2000,8,8.417886,0.5832097042488236,8.09174,9.44757,5,45.387260000000005,5.391764630692315,0.3735533429230727
